node,from,msg_id,hop,ttl,payload,timestamp
node6,172.19.0.27,b31337a0-96a4-4e13-b759-bb4101207e75,3,8,"{'temperature': 27.75, 'humidity': 57.15}",1746645606.9060524
node24,172.19.0.11,b31337a0-96a4-4e13-b759-bb4101207e75,3,8,"{'temperature': 27.75, 'humidity': 57.15}",1746645606.9070797
node6,172.19.0.27,b31337a0-96a4-4e13-b759-bb4101207e75,3,8,"{'temperature': 27.75, 'humidity': 57.15}",1746645607.0069485
node24,172.19.0.11,b31337a0-96a4-4e13-b759-bb4101207e75,3,8,"{'temperature': 27.75, 'humidity': 57.15}",1746645607.0089335
node6,172.19.0.27,b31337a0-96a4-4e13-b759-bb4101207e75,3,8,"{'temperature': 27.75, 'humidity': 57.15}",1746645607.1084297
node52,172.21.0.9,b31337a0-96a4-4e13-b759-bb4101207e75,5,6,"{'temperature': 27.75, 'humidity': 57.15}",1746645607.108486
node52,172.21.0.9,b31337a0-96a4-4e13-b759-bb4101207e75,5,6,"{'temperature': 27.75, 'humidity': 57.15}",1746645607.2133234
node52,172.21.0.9,b31337a0-96a4-4e13-b759-bb4101207e75,5,6,"{'temperature': 27.75, 'humidity': 57.15}",1746645607.3145776
node52,172.21.0.9,b31337a0-96a4-4e13-b759-bb4101207e75,5,6,"{'temperature': 27.75, 'humidity': 57.15}",1746645607.4160137
node50,172.21.0.3,b31337a0-96a4-4e13-b759-bb4101207e75,8,3,"{'temperature': 27.75, 'humidity': 57.15}",1746645607.619072
node50,172.21.0.3,b31337a0-96a4-4e13-b759-bb4101207e75,8,3,"{'temperature': 27.75, 'humidity': 57.15}",1746645607.719567
node50,172.21.0.3,b31337a0-96a4-4e13-b759-bb4101207e75,8,3,"{'temperature': 27.75, 'humidity': 57.15}",1746645607.8206093
node50,172.21.0.3,b31337a0-96a4-4e13-b759-bb4101207e75,8,3,"{'temperature': 27.75, 'humidity': 57.15}",1746645607.9216874
node24,172.19.0.11,ced76fe7-0ea4-4930-a70d-7de4995c1879,3,8,"{'temperature': 28.4, 'humidity': 49.93}",1746645617.0070775
